pinyin,tone,server_name,filename,url,status,size,http_status
bin,3,bin,bin3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bin3.mp3,downloaded,19434,200
bin,4,bin,bin4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bin4.mp3,downloaded,12537,200
bing,1,bing,bing1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bing1.mp3,downloaded,35422,200
bing,2,bing,bing2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bing2.mp3,downloaded,14418,200
bing,3,bing,bing3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bing3.mp3,downloaded,23719,200
bing,4,bing,bing4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bing4.mp3,downloaded,14418,200
bo,1,bo,bo1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bo1.mp3,downloaded,20061,200
bo,2,bo,bo2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bo2.mp3,downloaded,14418,200
bo,3,bo,bo3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bo3.mp3,downloaded,17553,200
bo,4,bo,bo4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bo4.mp3,downloaded,15672,200
bu,1,bu,bu1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bu1.mp3,downloaded,20061,200
bu,2,bu,bu2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bu2.mp3,downloaded,13164,200
bu,3,bu,bu3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bu3.mp3,downloaded,18180,200
bu,4,bu,bu4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bu4.mp3,downloaded,13164,200
ca,1,ca,ca1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ca1.mp3,downloaded,17553,200
ca,2,ca,ca2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ca2.mp3,downloaded,13164,200
ca,3,ca,ca3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ca3.mp3,downloaded,18807,200
ca,4,ca,ca4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ca4.mp3,downloaded,11284,200
cai,1,cai,cai1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cai1.mp3,downloaded,18807,200
cai,2,cai,cai2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cai2.mp3,downloaded,13164,200
cai,3,cai,cai3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cai3.mp3,downloaded,19434,200
cai,4,cai,cai4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cai4.mp3,downloaded,13164,200
can,1,can,can1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/can1.mp3,downloaded,21941,200
can,2,can,can2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/can2.mp3,downloaded,16926,200
